/cimento-comum-1kg-argos-659096/p;CIMENTO ALTA RES CPV-ARI 40KG;60
/pedra-ensacada-20kg-ab-areias-207764/p;AREIA COBERTA 350KG P;56
/cimento-comum-1kg-argos-659096/p;CIMENTO ALTA RES CPV-ARI 40KG;60
/pedra-ensacada-20kg-ab-areias-207764/p;AREIA COBERTA 350KG P;56
/pedra-ensacada-20kg-ab-areias-207764/p;AREIA COBERTA 350KG P;56
/caixa-de-inspecao-com-tampa-100mm-tigre-731790/p;PALETE CAIXA MAD 720X720MM;51
/caixa-de-inspecao-com-tampa-100mm-tigre-731790/p;PALETE CAIXA MAD 720X720MM;51
"/fita-crepe-48mmx50m-tekbond--1560115/p;FITA ARQUEAMENTO 16,2X1220M TENAX 2040 H;51"
/balde-oval-14-litros-cristal-sanremo-781398/p;BALDE CIL C;62
/janela-de-correr-abertura-central-de-aluminio-4-folhas-com-grade-ecosul-esquadrisul-alt-100cm-x-comp-120cm-aluminio-brilhante-1641409/p;GRADE CBMM 122.270.0032;100
/broca-para-metal-de-aco-rapido-109x75mm-irwin-341827/p;BROCA HELIC ACO RAPIDO 7;56
/bocal-para-calha-circular-esquerdo-aquapluv-style-tigre-505544/p;BOCAL SAIDA CBMM 122.391.234;62
/luva-raspa-petroleira-carbografite-7cm-orelha-cinza-1631578/p;LUVA CBMM 122.231.0060;100
/revestimento-castanha-interna-piscina-azul-naval-2-5x2-5cm-caixa-c-4-pecas-eliane-1453890/p;CASTANHA CBMM 173.346.022;100
/bateria-alcalina-9v-rayovac-588105/p;BATERIA RADIO EP450 MOTOROLA NNTN4970A;52
"/curva-90o-soldavel-34x90-tigre-22705/p;CURVA CBMM 122.391.0240 POS 01,02,03;100"
/tubo-soldavel-6-metros-34-tigre-23701/p;TUBO CBMM 161-342-582;100
/tubo-soldavel-6-metros-34-tigre-23701/p;TUBO CBMM 161-342-582;100
"/placa-4x2-2-modulos-separados-branco-lunare-schneider-455180/p;PLACA IMPAC ""B"" CBMM 161-342-589;56"
/tinta-spray-alta-temperatura-brilho-natural-super-color-preto-350ml-tekbond--1559885/p;ELETRODO ALTA TEMPERATURA 618-376;65
/tinta-spray-alta-temperatura-brilho-natural-super-color-preto-350ml-tekbond--1559885/p;ELETRODO ALTA TEMPERATURA 618-376;65
/conjunto-montado-de-interruptor-4x2-simples-com-placa-10a-modulare-fame-444316/p;CONJUNTO CBMM 161.347.0108/161.347.0109;100
/conjunto-montado-de-interruptor-4x2-simples-com-placa-10a-modulare-fame-444316/p;CONJUNTO CBMM 161.347.0108/161.347.0109;100
/cone-preto-amarelo-50cm-1768824/p;CONE VEDACAO MOINHO 03;53
/cone-preto-amarelo-50cm-1768824/p;CONE VEDACAO MOINHO 03;53
"/revestimento-de-parede-bold-33x57cm-styllus-marrom-rochaforte-1273485/p;ELETRODO REVESTIMENTO DURO 3,25MM XHD;55"
"/revestimento-de-parede-bold-33x57cm-styllus-marrom-rochaforte-1273485/p;ELETRODO REVESTIMENTO DURO 3,25MM XHD;55"
/conjunto-de-acionamento-para-caixa-acoplada-castelo-astra-111635/p;EIXO ACIONAMENTO CBMM 122.381.0038;81
/suporte-para-caixa-sifonada-100mm-de-borrachaferro-redux-tigre-1779753/p;SUPORTE TUBO CBMM 122-700-064;74
/pendente-cone-branco-auremar-1474855/p;CONE CONCENT CBMM 122.373.0390;55
/conjunto-montado-de-interruptor-4x2-simples-com-placa-10a-modulare-fame-444316/p;CONJUNTO AGCO 3411868M1;52
/esticador-leve-14-gancho-e-olhal-fixtil-1575724/p;ESTICADOR ACO FORJADO 1.1;65
/tirante-arame-10-com-elo-0-5m-aco-placo-1419196/p;TIRANTE MOLA CBMM 161.392.0137;74
"/valvula-de-descarga-112-cromado-docol-762288/p;VALVULA ESF CPVC SOLD 2"" 150PSI;55"
/tirante-arame-10-com-elo-0-5m-aco-placo-1419196/p;TIRANTE MOLA CBMM 161.392.0137;74
/espacador-cone-de-encosto-mao-na-obra-34-24-unidades--1307410/p;ROLO ENCOSTO CBMM 142.361.0015;74
"/garfo-gaiola-profimax-23cm-at54623-atlas-1449834/p;GAIOLA FILTR MANG AISI304 4,0MM C;51"
/suporte-4x2-para-placa-horizontal-cinza-pialplus-pial-632147/p;SUPORTE CBMM 122.381.0134;100
/barra-45cm-tubo-cromado-1427-arthi-1380923/p;TUBO ACO 1.1;57
/manta-polietileno-3mm-10-m2-ciplak-875236/p;MANTA METSO 170 510-50131001;52
/ponteiro-eco-sdsplus-20x250mm-para-concreto-bosch-1819003/p;PONTEIRO SANDVIK BJ803;53
/ponteiro-eco-sdsplus-20x250mm-para-concreto-bosch-1819003/p;PONTEIRO SANDVIK BJ803;53
/placa-4x2-com-3-postos-branca-pial-plus-1587471/p;PLACA 5 CBMM 141.342.101;83
/tubo-soldavel-6-metros-34-tigre-23701/p;TUBO CBMM 161-342-162;100
/terminal-de-ventilacao-100mm-tigre-984809/p;TERMINAL MANG 3;70
/terminal-de-ventilacao-100mm-tigre-984809/p;TERMINAL MANG 3;70
/anel-de-borracha-para-esgoto-75mm-tigre-22802/p;ANEL CBMM 173-346-0034;100
/caixa-dagua-1500-litros-acqualimp-594962/p;CAIXA ALFA INSTR 38223;51
/arruela-lisa-14-cinza-fixtil-718599/p;ARRUELA ISOL CBMM 161.342.0212 POS 04;74
/cabo-de-rede-utp-1-metro-azul-dni-1485563/p;CABO REDE ETHERNET AZUL OU CINZA;65
